,number,value,datetime_start,datetime_complete,,,duration,act,h1,h2,f1,f2,k1,k2,lr,opt,p1,p2,s1,s2,state
0,0,0.01,03:28.6,04:02.7,0,34.072617,0 days 00:00:34.072617,tanh,480,224,40,48,4,5,0.001,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,same,same,3,3,COMPLETE
1,1,0.01,03:28.6,04:03.1,0,34.523352,0 days 00:00:34.523352,sigmoid,288,160,48,40,3,4,0.01,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,same,same,2,4,COMPLETE
2,2,0.037999999,03:28.6,04:02.0,0,33.383162,0 days 00:00:33.383162,elu,352,160,40,40,4,3,0.001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,same,3,4,COMPLETE
3,3,0.01,03:28.6,04:16.3,0,47.694716,0 days 00:00:47.694716,elu,96,224,64,24,5,5,0.01,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,valid,same,1,3,COMPLETE
4,4,0.016000001,03:28.6,04:02.8,0,34.146129,0 days 00:00:34.146129,tanh,256,224,16,16,5,3,0.0001,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,same,valid,1,1,COMPLETE
5,5,0.01,03:28.6,03:59.7,0,31.060757,0 days 00:00:31.060757,sigmoid,480,448,16,32,4,3,1.00E-05,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,valid,same,4,1,COMPLETE
6,6,0.01,03:28.6,04:02.8,0,34.162219,0 days 00:00:34.162219,sigmoid,64,192,16,16,5,4,0.0001,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,valid,same,1,3,COMPLETE
7,7,0.01,03:28.6,04:03.0,0,34.394107,0 days 00:00:34.394107,sigmoid,32,224,64,64,4,3,0.0001,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,same,same,3,1,COMPLETE
8,8,0.01,03:28.6,04:03.7,0,35.097303,0 days 00:00:35.097303,sigmoid,512,352,64,16,4,3,1.00E-05,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,valid,valid,4,1,COMPLETE
9,9,0.01,03:28.6,04:02.6,0,34.020972,0 days 00:00:34.020972,selu,32,32,64,16,4,4,0.1,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,same,same,3,3,COMPLETE
10,10,0.014,03:59.7,04:40.7,0,40.964623,0 days 00:00:40.964623,selu,320,128,32,24,5,4,0.0001,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,same,valid,4,1,COMPLETE
11,11,0.029999999,04:02.0,04:40.8,0,38.828264,0 days 00:00:38.828264,tanh,160,256,24,16,4,3,0.0001,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,same,valid,4,4,COMPLETE
12,12,0.029999999,04:02.7,04:41.5,0,38.873052,0 days 00:00:38.873052,selu,224,352,40,40,3,4,0.0001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,same,valid,4,4,COMPLETE
13,13,0.012,04:02.7,04:52.2,0,49.555343,0 days 00:00:49.555343,elu,224,96,32,64,5,5,1.00E-05,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,same,same,1,1,COMPLETE
14,14,0.01,04:02.8,04:44.0,0,41.209206,0 days 00:00:41.209206,elu,160,192,24,40,5,3,0.1,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,valid,same,1,2,COMPLETE
15,15,0.012,04:02.8,04:39.3,0,36.473183,0 days 00:00:36.473183,selu,128,224,32,16,4,5,0.0001,<class 'keras.optimizers.optimizer_v2.adamax.Adamax'>,same,valid,4,2,COMPLETE
