number,gen,f1,k1,p1,s1,act,f2,k2,p2,s2,h1,opt,lr,h2,fitness
0,0,16,3,same,4,tanh,32,5,valid,2,192,Adamax,0.001,512,0.092
1,0,48,3,valid,4,sigmoid,52,3,valid,1,32,SGD,0.1,320,0.01
2,0,32,3,same,2,tanh,52,4,same,1,32,RMSprop,0.00001,288,0.064000003
3,0,52,5,valid,4,relu,16,5,same,2,64,RMSprop,0.00001,160,0.017999999
4,1,16,3,same,4,tanh,32,5,valid,2,192,Adamax,0.001,512,0.092
5,1,40,5,same,4,tanh,40,5,valid,3,320,SGD,0.001,320,0.02
6,1,16,5,valid,4,relu,52,3,valid,2,64,SGD,0.001,256,0.01
7,1,40,5,valid,4,sigmoid,48,3,same,3,192,SGD,0.1,480,0.01
8,2,16,3,same,4,tanh,32,5,valid,2,192,Adamax,0.001,512,0.092
9,2,40,5,same,4,tanh,40,5,valid,3,320,SGD,0.001,64,0.024
10,2,40,5,same,4,tanh,40,5,valid,3,256,Adam,0.001,416,0.017999999
11,2,40,5,same,4,tanh,40,3,valid,2,448,Adam,0.01,320,0.01
12,3,16,3,same,4,tanh,32,5,valid,2,192,Adamax,0.001,512,0.092
13,3,40,5,same,4,tanh,40,5,valid,3,64,RMSprop,0.0001,288,0.071999997
14,3,40,5,same,4,tanh,40,5,valid,3,320,SGD,0.001,320,0.022
15,3,40,5,same,4,tanh,40,4,valid,3,320,SGD,0.001,320,0.016000001
16,4,16,3,same,4,tanh,32,5,valid,2,192,Adamax,0.001,512,0.092
17,4,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.001,416,0.128000006
18,4,40,5,valid,4,sigmoid,48,3,same,3,512,Adamax,0.01,224,0.01
19,4,40,5,valid,4,sigmoid,48,3,same,2,192,SGD,0.001,320,0.01
20,5,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.001,416,0.128000006
21,5,40,3,valid,4,relu,52,3,same,4,256,Adamax,0.0001,64,0.012
22,5,40,5,valid,2,selu,40,5,same,3,480,Adamax,0.1,256,0.01
23,5,40,3,valid,2,tanh,16,4,valid,3,480,Adamax,0.1,384,0.01
24,6,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.001,416,0.128000006
25,6,40,3,valid,4,relu,52,3,valid,3,512,SGD,0.001,224,0.014
26,6,16,4,valid,4,relu,52,3,valid,2,64,SGD,0.001,256,0.012
27,6,40,4,valid,4,relu,52,3,valid,2,352,SGD,0.001,256,0.012
28,7,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.001,416,0.128000006
29,7,40,3,valid,2,tanh,16,4,same,3,256,Adamax,0.01,224,0.01
30,7,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.1,384,0.01
31,8,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.001,416,0.128000006
32,8,40,3,valid,2,tanh,16,4,same,3,256,Adamax,0.001,416,0.092
33,8,40,3,valid,2,tanh,52,4,same,3,256,Adam,0.001,416,0.048
34,8,40,3,valid,2,tanh,16,4,same,3,256,Adamax,0.0001,192,0.024
35,9,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.001,416,0.128000006
36,9,40,5,valid,2,tanh,16,4,same,3,256,Adamax,0.001,64,0.07
37,9,40,3,valid,2,elu,16,4,same,3,256,Adam,0.001,416,0.039999999
38,10,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.001,416,0.128000006
39,10,24,3,valid,2,tanh,16,4,same,3,256,Adam,0.001,416,0.128000006
40,10,40,3,valid,2,tanh,16,4,same,3,256,RMSprop,0.00001,416,0.032000002
41,11,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.001,416,0.128000006
42,11,40,3,valid,2,tanh,16,4,same,3,448,Adam,0.01,224,0.01
43,12,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.001,416,0.128000006
44,12,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.1,256,0.01
45,12,40,3,valid,2,tanh,40,3,valid,2,448,Adam,0.01,224,0.01
46,13,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.001,416,0.128000006
47,13,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.001,64,0.056000002
48,13,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.1,480,0.01
49,14,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.001,416,0.128000006
50,14,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.00001,256,0.012
51,14,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.1,416,0.01
52,15,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.001,416,0.128000006
53,15,40,3,valid,2,tanh,16,4,valid,2,64,SGD,0.001,256,0.024
54,15,40,3,valid,2,tanh,16,4,same,3,480,Adamax,0.1,256,0.01
55,16,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.001,416,0.128000006
56,16,40,3,valid,2,tanh,16,4,same,3,192,SGD,0.1,480,0.01
57,16,40,3,valid,2,selu,40,5,same,3,480,Adamax,0.1,256,0.01
58,17,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.001,416,0.128000006
59,17,40,3,valid,2,tanh,16,4,valid,3,256,Adam,0.001,416,0.104000002
60,17,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.0001,416,0.07
61,17,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.0001,128,0.039999999
62,18,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.001,416,0.128000006
63,18,40,3,valid,2,tanh,16,4,valid,3,384,SGD,0.0001,480,0.022
64,18,40,3,valid,2,tanh,16,4,valid,3,256,Adam,0.00001,256,0.012
65,19,40,3,valid,2,tanh,16,4,same,3,256,Adam,0.001,416,0.128000006
66,19,52,3,valid,2,tanh,16,4,same,3,256,Adam,0.001,416,0.056000002
67,19,40,3,valid,2,tanh,16,4,valid,3,384,SGD,0.0001,224,0.014
68,19,40,3,valid,2,tanh,16,3,valid,3,384,SGD,0.0001,480,0.01
68,19,40,3,valid,2,tanh,16,3,valid,3,384,SGD,0.0001,480,0.01
68,19,40,3,valid,2,tanh,16,3,valid,3,384,SGD,0.0001,480,0.01
68,19,40,3,valid,2,tanh,16,3,valid,3,384,SGD,0.0001,480,0.01
68,19,40,3,valid,2,tanh,16,3,valid,3,384,SGD,0.0001,480,0.01
68,19,40,3,valid,2,tanh,16,3,valid,3,384,SGD,0.0001,480,0.01
68,19,40,3,valid,2,tanh,16,3,valid,3,384,SGD,0.0001,480,0.01
68,19,40,3,valid,2,tanh,16,3,valid,3,384,SGD,0.0001,480,0.01
68,19,40,3,valid,2,tanh,16,3,valid,3,384,SGD,0.0001,480,0.01
68,19,40,3,valid,2,tanh,16,3,valid,3,384,SGD,0.0001,480,0.01
68,19,40,3,valid,2,tanh,16,3,valid,3,384,SGD,0.0001,480,0.01
68,19,40,3,valid,2,tanh,16,3,valid,3,384,SGD,0.0001,480,0.01
