number,gen,f1,k1,p1,s1,act,f2,k2,p2,s2,h1,opt,opt__,lr,h2,fitness,method
0,0,48,3,same,1,sigmoid,52,3,same,4,96,Adam,Adam,0.00001,288,0.100000001,0
1,0,40,4,valid,1,elu,32,5,valid,3,288,RMSprop,RMSprop,0.001,512,0.101999998,0
2,0,16,3,valid,1,elu,52,5,same,4,96,RMSprop,RMSprop,0.00001,320,0.211999997,0
3,0,48,4,same,4,selu,64,4,same,4,64,RMSprop,RMSprop,0.1,352,0.100000001,0
4,1,16,3,valid,1,elu,52,5,same,4,96,RMSprop,RMSprop,0.00001,320,0.211999997,0
5,1,48,5,same,3,selu,48,5,same,2,384,Adamax,Adamax,0.0001,256,0.225999996,0
6,1,16,3,valid,3,selu,40,3,valid,2,128,Adamax,Adamax,0.0001,160,0.206,0
7,1,48,5,same,4,relu,32,3,valid,4,512,SGD,SGD,0.01,192,0.100000001,0
8,2,48,5,same,3,selu,48,5,same,2,384,Adamax,Adamax,0.0001,256,0.225999996,0
9,2,16,3,valid,3,selu,52,3,valid,2,128,Adamax,Adamax,0.0001,256,0.187999994,0
10,2,40,5,valid,1,relu,52,3,same,4,448,Adamax,Adamax,0.1,96,0.100000001,0
11,2,48,5,same,3,selu,48,5,valid,4,512,SGD,SGD,0.01,192,0.100000001,0
12,3,48,5,same,3,selu,48,5,same,2,384,Adamax,Adamax,0.0001,256,0.225999996,0
13,3,48,5,same,3,selu,48,5,same,3,384,Adamax,Adamax,0.0001,256,0.272000015,0
14,3,48,4,same,1,selu,16,5,valid,4,512,Adam,Adam,0.0001,480,0.270000011,0
15,3,48,5,same,3,selu,48,5,valid,1,96,SGD,SGD,0.1,160,0.100000001,0
16,4,48,5,same,3,selu,48,5,same,3,384,Adamax,Adamax,0.0001,256,0.272000015,0
17,4,48,5,same,3,selu,32,5,same,3,384,Adamax,Adamax,0.0001,256,0.216000006,0
18,4,48,5,same,3,selu,48,5,same,3,384,Adamax,Adamax,0.00001,256,0.128000006,0
