,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_momentum,params_optimiser,state
0,0,0.3276819643379129,2023-05-28 00:14:08.533747,2023-05-28 00:29:22.158440,0 days 00:15:13.624693,16,0.8421674235105003,0.6727958253350853,rmsprop,COMPLETE
1,1,0.3341128325051155,2023-05-28 00:14:08.535494,2023-05-28 00:26:12.644693,0 days 00:12:04.109199,32,0.6400585542215073,0.7492629289497614,adam,COMPLETE
2,2,0.3086816720257235,2023-05-28 00:14:08.536289,2023-05-28 00:24:34.356077,0 days 00:10:25.819788,64,0.6372512807320652,0.7704169406561685,adagrad,COMPLETE
3,3,0.3265127155802397,2023-05-28 00:14:08.536933,2023-05-28 00:29:20.218833,0 days 00:15:11.681900,16,0.5100680907726288,0.654839908832055,adagrad,COMPLETE
4,4,0.3878982753580824,2023-05-28 00:14:08.537222,2023-05-28 00:26:13.851090,0 days 00:12:05.313868,32,0.3853718727215013,0.7190786097339059,adamax,COMPLETE
5,5,0.31277404267757963,2023-05-28 00:14:08.537516,2023-05-28 00:23:47.892467,0 days 00:09:39.354951,128,0.4464422354142161,0.871531344995937,rmsprop,COMPLETE
6,6,0.3612978661210172,2023-05-28 00:14:08.537781,2023-05-28 00:29:19.106731,0 days 00:15:10.568950,16,0.05559816724781563,0.8832449155081494,rmsprop,COMPLETE
7,7,0.3954983922829582,2023-05-28 00:14:08.538041,2023-05-28 00:24:36.189362,0 days 00:10:27.651321,64,0.20155400004828794,0.7738037452834269,adadelta,COMPLETE
8,8,0.31102016954106987,2023-05-28 00:14:08.538291,2023-05-28 00:26:13.355486,0 days 00:12:04.817195,32,0.24877241995875798,0.7064346791755672,adamax,COMPLETE
9,9,0.3232972814966384,2023-05-28 00:14:08.539076,2023-05-28 00:23:49.219205,0 days 00:09:40.680129,128,0.3898720131028133,0.826921620732878,rmsprop,COMPLETE
10,10,0.3367436422098802,2023-05-28 00:23:47.893798,2023-05-28 00:36:18.841647,0 days 00:12:30.947849,32,0.7448683225624646,0.6186093032009196,adagrad,COMPLETE
11,11,0.3469745688395206,2023-05-28 00:23:49.220698,2023-05-28 00:33:39.908546,0 days 00:09:50.687848,128,0.48128715265127653,0.7169261254156851,adamax,COMPLETE
12,12,0.38088278281204324,2023-05-28 00:24:34.357883,2023-05-28 00:35:18.493173,0 days 00:10:44.135290,64,0.47192129693730867,0.6923747431851396,rmsprop,COMPLETE
13,13,0.2958199356913183,2023-05-28 00:24:36.190711,2023-05-28 00:35:21.311174,0 days 00:10:45.120463,64,0.07639251883496334,0.6122570845059228,adagrad,COMPLETE
14,14,0.3700672318035662,2023-05-28 00:26:12.646513,2023-05-28 00:42:14.738410,0 days 00:16:02.091897,16,0.9604103599492066,0.6634445390097732,rmsprop,COMPLETE
15,15,0.3250511546331482,2023-05-28 00:26:13.356865,2023-05-28 00:36:13.737485,0 days 00:10:00.380620,128,0.1464854916670303,0.6736521773758299,adamax,COMPLETE
16,16,0.36626717334112835,2023-05-28 00:26:13.852582,2023-05-28 00:38:54.538780,0 days 00:12:40.686198,32,0.27194902597619985,0.690170005605772,adagrad,COMPLETE
17,17,0.1867874890382929,2023-05-28 00:29:19.109262,2023-05-28 00:42:09.501399,0 days 00:12:50.392137,32,0.0008834406861992772,0.8264015752048901,adadelta,COMPLETE
18,18,0.4153756211634025,2023-05-28 00:29:20.220198,2023-05-28 00:42:11.251570,0 days 00:12:51.031372,32,0.22648745650618474,0.8038205041130251,adadelta,COMPLETE
19,19,0.38263665594855306,2023-05-28 00:29:22.159581,2023-05-28 00:40:22.558904,0 days 00:11:00.399323,64,0.08396041023219492,0.6002968003605039,adadelta,COMPLETE
20,20,0.41479099678456594,2023-05-28 00:33:39.909694,2023-05-28 00:44:58.262682,0 days 00:11:18.352988,64,0.15663892948595473,0.7966391260451426,adadelta,COMPLETE
21,21,0.3934522069570301,2023-05-28 00:35:18.494746,2023-05-28 00:48:36.337765,0 days 00:13:17.843019,32,0.19518972927513023,0.608879455304212,adadelta,COMPLETE
22,22,0.3712364805612394,2023-05-28 00:35:21.312338,2023-05-28 00:48:39.521808,0 days 00:13:18.209470,32,0.240797315880048,0.7992642074593317,adadelta,COMPLETE
23,23,0.40339082139725224,2023-05-28 00:36:13.738811,2023-05-28 00:49:36.239790,0 days 00:13:22.500979,32,0.2452515581122069,0.7915134484953792,adadelta,COMPLETE
24,24,0.40660625548085355,2023-05-28 00:36:18.842869,2023-05-28 00:49:43.686291,0 days 00:13:24.843422,32,0.28083134761865086,0.7931744747649956,adadelta,COMPLETE
25,25,0.3276819643379129,2023-05-28 00:38:54.540284,2023-05-28 00:50:43.130909,0 days 00:11:48.590625,64,0.9930891500178181,0.7917275201267601,adadelta,COMPLETE
26,26,0.3531131248173049,2023-05-28 00:40:22.560310,2023-05-28 00:54:18.029743,0 days 00:13:55.469433,32,0.9978336703307387,0.7980943949768039,sgd,COMPLETE
27,27,0.4048523823443438,2023-05-28 00:42:09.502549,2023-05-28 00:54:17.854825,0 days 00:12:08.352276,64,0.2947342163647647,0.7754865884465695,sgd,COMPLETE
