trial,optimiser,learning_rate,momentum,batch_size,val_acc,mac,params,time,opt_num
1,Adamax,0.05,0.95,128,0.398713826,4.12 GMac,16.39 k,0.720999368,0
2,Adagrad,0.054,0.819,64,0.418591055,4.12 GMac,16.39 k,0.787066344,4
3,SGD,0.0658,0.79,32,0.384975153,4.12 GMac,16.39 k,1.071739149,3
4,Adagrad,0.026,0.73,16,0.434960538,4.12 GMac,16.39 k,1.698591844,4
5,SGD,0.1,0.827,32,0.394621456,4.12 GMac,16.39 k,1.087639165,3
6,Adagrad,0.052,0.693902,64,0.384975153,4.12 GMac,16.39 k,0.759648629,4
7,Adam,0.08,0.89149159,64,0.383513593,4.12 GMac,16.39 k,0.769807092,1
8,Adagrad,0.05,0.966646179,32,0.417714119,4.12 GMac,16.39 k,1.098102136,4
9,Adadelta,0.1,0.642926558,16,0.380005846,4.12 GMac,16.39 k,2.749830059,5
10,Adam,0.06,0.851488773,16,0.344343759,4.12 GMac,16.39 k,2.198755829,1
11,Adagrad,0.1,0.981,64,0.370067232,4.12 GMac,16.39 k,0.70633411,4
12,Adagrad,0.1,0.793,128,0.378251973,4.12 GMac,16.39 k,0.59128025,4
13,Adagrad,0.1,0.93,32,0.394913768,4.12 GMac,16.39 k,1.003756503,4
14,Adagrad,0.1,0.81,64,0.378836597,4.12 GMac,16.39 k,0.706569076,4
15,Adagrad,0.1,0.616606913,16,0.279742765,4.12 GMac,16.39 k,1.66218009,4
16,Adagrad,0.05,0.7738,16,0.37386729,4.12 GMac,16.39 k,1.714074012,4
17,Adam,0.0306,0.73,16,0.353405437,4.12 GMac,16.39 k,1.685436646,1
18,Adagrad,0.1,0.94,32,0.402513885,4.12 GMac,16.39 k,1.011489332,4
19,Adagrad,0,0.85,64,0.121309559,4.12 GMac,16.39 k,0.743217019,4
20,Adagrad,0.053,0.76,32,0.423560362,4.12 GMac,16.39 k,1.005822619,4
21,Adagrad,0.1,0.938,16,0.385559778,4.12 GMac,16.39 k,1.671391861,4
22,Adagrad,0.05,0.76,32,0.434960538,4.12 GMac,16.39 k,1.02653418,4
23,Adagrad,0.1,0.828,16,0.319789535,4.12 GMac,16.39 k,1.62685655,4
24,Adagrad,0.1,0.983,128,0.420052616,4.12 GMac,16.39 k,0.593164829,4
25,Adagrad,0.05,0.73,32,0.375621163,4.12 GMac,16.39 k,1.012262909,4
26,Adagrad,0.1,0.9738,16,0.313943291,4.12 GMac,16.39 k,1.652698954,4
27,Adagrad,0.1,0.88,16,0.365682549,4.12 GMac,16.39 k,1.658442537,4
28,Adagrad,0.1,0.73,16,0.375328851,4.12 GMac,16.39 k,1.633375716,4
29,Adagrad,0.1,0.94,32,0.313650979,4.12 GMac,16.39 k,1.033234076,4
30,Adagrad,0.1,0.78,16,0.390236773,4.12 GMac,16.39 k,1.665422738,4
31,Adagrad,0.1,0.78,16,0.363344051,4.12 GMac,16.39 k,1.661885941,4
32,Adagrad,0.05,0.76,32,0.448699211,4.12 GMac,16.39 k,1.030575474,4
33,Adagrad,0.1,0.7738,16,0.426775797,4.12 GMac,16.39 k,1.678762698,4
34,Adagrad,0.1,0.63,16,0.36977492,4.12 GMac,16.39 k,1.649802204,4
35,Adagrad,0.05,0.98,32,0.394621456,4.12 GMac,16.39 k,1.031758336,4
36,SGD,0.01,0.64,32,0.339666764,4.12 GMac,16.39 k,1.040192091,3
37,Adagrad,0.02,0.94,32,0.372990354,4.12 GMac,16.39 k,1.028998339,4
38,Adagrad,0.1,0.96,32,0.406898568,4.12 GMac,16.39 k,1.037062772,4
39,Adagrad,0.1,0.74,32,0.346682257,4.12 GMac,16.39 k,1.023063684,4
40,SGD,0.01,0.64,32,0.412160187,4.12 GMac,16.39 k,1.031359625,3
41,Adagrad,0.02,0.82,32,0.428821982,4.12 GMac,16.39 k,1.034246961,4
42,Adam,0.1,0.753,64,0.368897983,4.12 GMac,16.39 k,0.723241111,1
43,Adadelta,0.037,0.78,16,0.380882783,4.12 GMac,16.39 k,1.650884922,5
44,Adagrad,0.1,0.95,64,0.387021339,4.12 GMac,16.39 k,0.778658366,4
45,Adagrad,0.1,0.68,16,0.309558609,4.12 GMac,16.39 k,1.744854061,4
46,Adagrad,0.05,0.76,32,0.30838936,4.12 GMac,16.39 k,1.044837173,4
47,Adagrad,0.1,0.96,32,0.378251973,4.12 GMac,16.39 k,1.036644399,4
48,Adagrad,0.03,0.73,16,0.401636948,4.12 GMac,16.39 k,1.746625531,4
49,Adagrad,0.1,0.94,32,0.374159602,4.12 GMac,16.39 k,1.096779231,4
