,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_momentum,params_optimiser2,state
0,0,0.8627665390924002,2023-05-28 09:52:54.133181,2023-05-28 12:19:16.085322,0 days 02:26:21.952141,64,0.3326354505260668,0.8744532679593312,sgd,COMPLETE
1,1,0.9141607435757244,2023-05-28 09:52:54.135140,2023-05-28 11:51:01.535614,0 days 01:58:07.400474,16,0.6137207958979565,0.7792961474060613,adadelta,COMPLETE
2,2,0.8884636413340623,2023-05-28 09:52:54.141092,2023-05-28 12:13:49.427174,0 days 02:20:55.286082,64,0.7720659199803349,0.8850899099431717,adadelta,COMPLETE
3,3,0.8851831601968289,2023-05-28 09:52:54.144631,2023-05-28 12:02:00.862215,0 days 02:09:06.717584,128,0.9434544204695378,0.8331997160222886,adadelta,COMPLETE
4,4,0.878622197922362,2023-05-28 09:52:54.147555,2023-05-28 12:13:03.355162,0 days 02:20:09.207607,64,0.6356982209920515,0.7240359986643847,adamax,COMPLETE
5,5,0.8321487151448879,2023-05-28 09:52:54.151174,2023-05-28 12:00:12.504026,0 days 02:07:18.352852,16,0.4863299419120445,0.6970516167596488,adam,COMPLETE
6,6,0.88627665390924,2023-05-28 09:52:54.154242,2023-05-28 12:05:55.593505,0 days 02:13:01.439263,128,0.34852768250318167,0.727626800603233,sgd,COMPLETE
7,7,0.8354291962821214,2023-05-28 09:52:54.157747,2023-05-28 12:23:46.271460,0 days 02:30:52.113713,64,0.9878512699143489,0.7830446408309225,rmsprop,COMPLETE
8,8,0.8835429196282122,2023-05-28 09:52:54.160984,2023-05-28 12:14:03.177122,0 days 02:21:09.016138,64,0.3590348072182652,0.6684842920220346,adagrad,COMPLETE
9,9,0.8469108802624384,2023-05-28 09:52:54.166099,2023-05-28 12:19:05.324087,0 days 02:26:11.157988,64,0.17349408021799662,0.7185111481046278,adam,COMPLETE
10,10,0.8419901585565883,2023-05-28 11:51:01.588753,2023-05-28 14:06:33.240730,0 days 02:15:31.651977,32,0.529477637614117,0.7525958313286255,rmsprop,COMPLETE
11,11,0.8649535265172226,2023-05-28 12:00:12.544034,2023-05-28 14:11:31.748951,0 days 02:11:19.204917,128,0.8810161138929433,0.7050082343489722,rmsprop,COMPLETE
12,12,0.9032258064516129,2023-05-28 12:02:00.864463,2023-05-28 14:23:50.489368,0 days 02:21:49.624905,64,0.5756764329510423,0.8599000076474957,adadelta,COMPLETE
13,13,0.8627665390924002,2023-05-28 12:05:55.596202,2023-05-28 14:27:03.183318,0 days 02:21:07.587116,64,0.8399576808543536,0.8458208529279151,adam,COMPLETE
14,14,0.8381629305631493,2023-05-28 12:13:03.391702,2023-05-28 14:20:43.655547,0 days 02:07:40.263845,16,0.17987188052248182,0.8397927512339981,adamax,COMPLETE
15,15,0.8551120831055221,2023-05-28 12:13:49.429246,2023-05-28 14:32:08.679508,0 days 02:18:19.250262,64,0.5133072789795949,0.6777057854709836,adagrad,COMPLETE
16,16,0.8780754510661564,2023-05-28 12:14:03.183527,2023-05-28 14:30:01.676151,0 days 02:15:58.492624,128,0.7093377956775946,0.6683228481241157,adam,COMPLETE
17,17,0.8819026790595954,2023-05-28 12:19:05.329303,2023-05-28 14:26:57.708485,0 days 02:07:52.379182,16,0.6500147861504948,0.6998393659351483,adagrad,COMPLETE
18,18,0.88627665390924,2023-05-28 12:19:16.090126,2023-05-28 14:26:48.981315,0 days 02:07:32.891189,128,0.9997315211111659,0.7028568300119178,adamax,COMPLETE
19,19,0.910880262438491,2023-05-28 12:23:46.273699,2023-05-28 14:33:34.171123,0 days 02:09:47.897424,32,0.7208451385007415,0.6250738420860256,adadelta,COMPLETE
20,20,0.9097867687260798,2023-05-28 14:06:33.254579,2023-05-28 15:39:50.349880,0 days 01:33:17.095301,16,0.7536008506969081,0.89194067324438,adadelta,COMPLETE
21,21,0.900492072170585,2023-05-28 14:11:31.750723,2023-05-28 15:25:57.061165,0 days 01:14:25.310442,16,0.7448486700848781,0.89662620783676,adadelta,COMPLETE
22,22,0.9103335155822854,2023-05-28 14:20:43.683845,2023-05-28 16:06:06.260208,0 days 01:45:22.576363,16,0.7629986112319233,0.6087446575724523,adadelta,COMPLETE
23,23,0.9152542372881356,2023-05-28 14:23:50.494862,2023-05-28 15:55:49.783618,0 days 01:31:59.288756,16,0.6640932959055381,0.6177145450831206,adadelta,COMPLETE
24,24,0.910880262438491,2023-05-28 14:26:48.984941,2023-05-28 15:42:13.901031,0 days 01:15:24.916090,16,0.6821933156196588,0.6151085291511009,adadelta,COMPLETE
25,25,0.8993985784581738,2023-05-28 14:26:57.710440,2023-05-28 16:20:06.820288,0 days 01:53:09.109848,32,0.7590972942694211,0.6098983744052762,adadelta,COMPLETE
