,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_momentum,params_optimiser,state
0,0,0.215,2023-05-28 09:45:14.770652,2023-05-28 10:25:15.196868,0 days 00:40:00.426216,128,0.3796211890359812,0.6109174519475442,sgd,COMPLETE
1,1,0.2849,2023-05-28 09:45:14.772039,2023-05-28 10:25:18.759785,0 days 00:40:03.987746,128,0.7871288439231868,0.6618203397509966,adadelta,COMPLETE
2,2,0.2138,2023-05-28 09:45:14.773220,2023-05-28 10:48:28.542288,0 days 01:03:13.769068,16,0.7498706521735123,0.8298185821309496,adagrad,COMPLETE
3,3,0.2818,2023-05-28 09:45:14.774725,2023-05-28 10:27:46.976734,0 days 00:42:32.202009,64,0.7754546597780156,0.7825676066359083,adadelta,COMPLETE
4,4,0.2069,2023-05-28 09:45:14.777687,2023-05-28 10:25:10.465094,0 days 00:39:55.687407,128,0.9019718015487274,0.7679423165867385,rmsprop,COMPLETE
5,5,0.2148,2023-05-28 09:45:14.778232,2023-05-28 10:25:17.727795,0 days 00:40:02.949563,128,0.1622660731326111,0.8651455830044783,rmsprop,COMPLETE
6,6,0.2817,2023-05-28 09:45:14.778725,2023-05-28 10:25:22.983853,0 days 00:40:08.205128,128,0.7072358274240228,0.6028498212902974,adadelta,COMPLETE
7,7,0.216,2023-05-28 09:45:14.778941,2023-05-28 10:27:46.275878,0 days 00:42:31.496937,64,0.8604263123163937,0.625143299026094,adamax,COMPLETE
8,8,0.1865,2023-05-28 09:45:14.779447,2023-05-28 10:48:38.059959,0 days 01:03:23.280512,16,0.6499138052245907,0.7732364557886233,rmsprop,COMPLETE
9,9,0.2402,2023-05-28 09:45:14.780099,2023-05-28 10:27:42.126940,0 days 00:42:27.346841,64,0.9574017846027494,0.6640303773650272,adagrad,COMPLETE
10,10,0.2898,2023-05-28 10:25:10.467686,2023-05-28 11:15:57.225153,0 days 00:50:46.757467,64,0.10240569219400175,0.8043146494880884,adadelta,COMPLETE
11,11,0.1953,2023-05-28 10:25:15.198167,2023-05-28 11:34:40.072358,0 days 01:09:24.874191,16,0.12907997621623513,0.801999627594897,adam,COMPLETE
12,12,0.2132,2023-05-28 10:25:17.730127,2023-05-28 11:16:01.093958,0 days 00:50:43.363831,64,0.08664254678737415,0.7526542865460829,rmsprop,COMPLETE
13,13,0.2136,2023-05-28 10:25:18.761937,2023-05-28 11:13:56.071452,0 days 00:48:37.309515,128,0.47783118706565975,0.6874668687971407,adamax,COMPLETE
14,14,0.2763,2023-05-28 10:25:22.988088,2023-05-28 11:13:47.459217,0 days 00:48:24.471129,128,0.7512323084633034,0.8965186458998768,adadelta,COMPLETE
