number,opt,learning_rate,momentum,batch_size,val_acc,mac,params,time
1,rmsprop,0.04,0.69,32,0.2063,4.12 GMac,204.9 k,193.511291
2,rmsprop,0.1,0.897,32,0.2131,4.12 GMac,204.9 k,193.8126597
3,rmsprop,0.0335,0.8164,128,0.2107,4.12 GMac,204.9 k,141.0578105
4,rmsprop,0.0303,0.63,32,0.2044,4.12 GMac,204.9 k,194.319603
5,adadelta,0.1,0.954156263,64,0.2923,4.12 GMac,204.9 k,129.2470093
6,adadelta,0.1,0.67665,16,0.2704,4.12 GMac,204.9 k,351.1783385
7,adagrad,0.01,0.601128636,16,0.2842,4.12 GMac,204.9 k,359.7088535
8,adam,0.1,0.657503589,64,0.2114,4.12 GMac,204.9 k,128.8549969
9,adam,0.0506,0.628313158,16,0.1912,4.12 GMac,204.9 k,346.2505324
10,adam,0.1,0.621866515,32,0.2031,4.12 GMac,204.9 k,213.3655767
11,adadelta,0.011,0.99,16,0.2203,4.12 GMac,204.9 k,365.7214262
12,adamax,0.1,0.6,128,0.2223,4.12 GMac,204.9 k,140.9843528
13,adam,0.0644,0.76,64,0.2065,4.12 GMac,204.9 k,128.6168797
14,adadelta,0.1,0.78,64,0.2908,4.12 GMac,204.9 k,128.7761514
15,sgd,0.1,0.61,64,0.2465,4.12 GMac,204.9 k,128.3839633
16,rmsprop,0.015,0.88,64,0.2057,4.12 GMac,204.9 k,128.6759124
17,rmsprop,0.1,0.99,16,0.1782,4.12 GMac,204.9 k,346.091912
18,adagrad,0.1,0.951,16,0.2479,4.12 GMac,204.9 k,351.7099726
19,adadelta,0.015,0.92,64,0.2367,4.12 GMac,204.9 k,128.4761524
20,adadelta,0.1,0.98,128,0.2851,4.12 GMac,204.9 k,141.1027532
21,rmsprop,0.01,0.867,32,0.2082,4.12 GMac,204.9 k,193.9200473
22,adadelta,0.07,0.63,16,0.2643,4.12 GMac,204.9 k,346.7262983
23,sgd,0.0588,0.78,64,0.2534,4.12 GMac,204.9 k,128.8616428
24,rmsprop,0.0829,0.74567,32,0.2052,4.12 GMac,204.9 k,210.0109529
25,adam,0.068,0.91,128,0.2186,4.12 GMac,204.9 k,150.5281281
26,rmsprop,0.0423,0.94,128,0.214,4.12 GMac,204.9 k,150.8348055
27,adagrad,0.01,0.7,64,0.2973,4.12 GMac,204.9 k,140.2389431
28,rmsprop,0.067,0.99,16,0.1872,4.12 GMac,204.9 k,365.902349
29,sgd,0.04,0.78,16,0.2058,4.12 GMac,204.9 k,344.3929646
30,sgd,0.1,0.7,32,0.2189,4.12 GMac,204.9 k,210.1792443
31,adadelta,0.0214,0.7,128,0.2374,4.12 GMac,204.9 k,144.5524881
32,adamax,0.0707,0.73,16,0.1984,4.12 GMac,204.9 k,364.8626523
33,adagrad,0.1,0.89,32,0.2563,4.12 GMac,204.9 k,211.6890218
34,rmsprop,0.08,0.89743,32,0.2011,4.12 GMac,204.9 k,211.8218126
35,sgd,0.0689,0.647221276,128,0.2828,4.12 GMac,204.9 k,150.1195021
36,sgd,0.1,0.790611981,32,0.2141,4.12 GMac,204.9 k,198.4561148
37,rmsprop,0.0742,0.726765525,16,0.1926,4.12 GMac,204.9 k,345.3879669
