,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_momentum,params_optimiser2,state
0,0,0.4597,2023-05-28 09:42:46.296911,2023-05-28 10:30:25.562837,0 days 00:47:39.265926,64,0.3990226983307077,0.6203205696518453,adagrad,COMPLETE
1,1,0.4273,2023-05-28 09:42:46.305531,2023-05-28 10:40:53.531952,0 days 00:58:07.226421,32,0.9450612810990912,0.7931883798184598,sgd,COMPLETE
2,2,0.4368,2023-05-28 09:42:46.309628,2023-05-28 10:41:06.798206,0 days 00:58:20.488578,32,0.9954174258007832,0.794258448946841,sgd,COMPLETE
3,3,0.4697,2023-05-28 09:42:46.313988,2023-05-28 10:40:58.071056,0 days 00:58:11.757068,32,0.3368817572426682,0.7966063271792726,adagrad,COMPLETE
4,4,0.4389,2023-05-28 09:42:46.317890,2023-05-28 11:04:30.815628,0 days 01:21:44.497738,16,0.00857603562092768,0.6260124565342287,adamax,COMPLETE
5,5,0.4293,2023-05-28 09:42:46.324310,2023-05-28 11:02:40.855327,0 days 01:19:54.531017,16,0.47079004072721375,0.8638629143360788,adagrad,COMPLETE
6,6,0.4046,2023-05-28 09:42:46.331623,2023-05-28 10:41:33.034374,0 days 00:58:46.702751,32,0.5592443181900973,0.605578333571798,adam,COMPLETE
7,7,0.40900000000000003,2023-05-28 09:42:46.333249,2023-05-28 11:03:49.869220,0 days 01:21:03.535971,16,0.8311711929192204,0.8337894508671406,adam,COMPLETE
8,8,0.40940000000000004,2023-05-28 09:42:46.347639,2023-05-28 10:41:35.848476,0 days 00:58:49.500837,32,0.9806345807056032,0.6065389235609918,adam,COMPLETE
9,9,0.4393,2023-05-28 09:42:46.354056,2023-05-28 10:25:06.770454,0 days 00:42:20.416398,128,0.6269173019116412,0.8622077514822076,adamax,COMPLETE
10,10,0.4123,2023-05-28 10:25:06.779451,2023-05-28 11:45:25.778723,0 days 01:20:18.999272,16,0.8278995093614172,0.646875542011021,adam,COMPLETE
11,11,0.5101,2023-05-28 10:30:25.568041,2023-05-28 11:12:53.007995,0 days 00:42:27.439954,128,0.1388277266441319,0.7100130945611789,adadelta,COMPLETE
12,12,0.4,2023-05-28 10:40:53.537115,2023-05-28 12:01:31.565992,0 days 01:20:38.028877,16,0.6021566601258037,0.6941539115600144,adamax,COMPLETE
13,13,0.4433,2023-05-28 10:40:58.075578,2023-05-28 11:39:03.344472,0 days 00:58:05.268894,32,0.9466245940415428,0.6096215523322227,adagrad,COMPLETE
14,14,0.4253,2023-05-28 10:41:06.801120,2023-05-28 11:39:12.804609,0 days 00:58:06.003489,32,0.6993175037955142,0.798531918415892,sgd,COMPLETE
15,15,0.4138,2023-05-28 10:41:33.038744,2023-05-28 11:29:18.621195,0 days 00:47:45.582451,64,0.2823115185886874,0.6517500058543082,rmsprop,COMPLETE
16,16,0.44210000000000005,2023-05-28 10:41:35.852569,2023-05-28 11:29:09.520093,0 days 00:47:33.667524,64,0.9349456086784967,0.6781201291293624,adagrad,COMPLETE
17,17,0.42110000000000003,2023-05-28 11:02:40.858734,2023-05-28 12:00:35.960606,0 days 00:57:55.101872,32,0.5952464802202568,0.6266839412337656,adam,COMPLETE
18,18,0.39930000000000004,2023-05-28 11:03:49.873275,2023-05-28 12:23:20.262638,0 days 01:19:30.389363,16,0.49611008455293415,0.8122042449948759,adamax,COMPLETE
19,19,0.4409,2023-05-28 11:04:30.819486,2023-05-28 11:51:40.709971,0 days 00:47:09.890485,64,0.20932744635824863,0.695023335890854,rmsprop,COMPLETE
20,20,0.5163,2023-05-28 11:12:53.011430,2023-05-28 11:54:41.477168,0 days 00:41:48.465738,128,0.1615303311989988,0.7011427194447329,adadelta,COMPLETE
21,21,0.5181,2023-05-28 11:29:09.523446,2023-05-28 12:10:13.192436,0 days 00:41:03.668990,128,0.18572028087104372,0.7242004707108928,adadelta,COMPLETE
22,22,0.5118,2023-05-28 11:29:18.623975,2023-05-28 12:10:36.601746,0 days 00:41:17.977771,128,0.13592905738578914,0.719705364523693,adadelta,COMPLETE
23,23,0.5128,2023-05-28 11:39:03.347880,2023-05-28 12:19:46.671710,0 days 00:40:43.323830,128,0.15698766037079023,0.7228583190683088,adadelta,COMPLETE
24,24,0.5153,2023-05-28 11:39:12.808267,2023-05-28 12:20:04.163631,0 days 00:40:51.355364,128,0.14526654591415641,0.7192578507329747,adadelta,COMPLETE
25,25,0.5185000000000001,2023-05-28 11:45:25.782758,2023-05-28 12:26:02.104541,0 days 00:40:36.321783,128,0.14939609633437562,0.7273452612363389,adadelta,COMPLETE
26,26,0.5038,2023-05-28 11:51:40.714403,2023-05-28 12:32:25.183691,0 days 00:40:44.469288,128,0.08003632323736976,0.7422306473129358,adadelta,COMPLETE
27,27,0.4988,2023-05-28 11:54:41.482060,2023-05-28 12:35:24.000143,0 days 00:40:42.518083,128,0.058006662246359725,0.7337241463692612,adadelta,COMPLETE
28,28,0.5057,2023-05-28 12:00:35.964295,2023-05-28 12:41:15.331264,0 days 00:40:39.366969,128,0.08239189217001064,0.7248703811594789,adadelta,COMPLETE
29,29,0.505,2023-05-28 12:01:31.569787,2023-05-28 12:42:21.450005,0 days 00:40:49.880218,128,0.07937975492071442,0.7373718713877614,adadelta,COMPLETE
30,30,0.5127,2023-05-28 12:10:13.196391,2023-05-28 12:51:02.890742,0 days 00:40:49.694351,128,0.09961455752160862,0.7360929078098034,adadelta,COMPLETE
31,31,0.4999,2023-05-28 12:10:36.606152,2023-05-28 12:51:27.947209,0 days 00:40:51.341057,128,0.05974979908712798,0.7337212308015985,adadelta,COMPLETE
32,32,0.4927,2023-05-28 12:19:46.675523,2023-05-28 13:00:28.177185,0 days 00:40:41.501662,128,0.04937590985838766,0.7464778794682567,adadelta,COMPLETE
33,33,0.4309,2023-05-28 12:20:04.168251,2023-05-28 13:00:48.279233,0 days 00:40:44.110982,128,0.008883830997268888,0.7638536652656002,adadelta,COMPLETE
34,34,0.22940000000000002,2023-05-28 12:23:20.267359,2023-05-28 13:04:11.895284,0 days 00:40:51.627925,128,0.001318416677448836,0.7588106968617733,adadelta,COMPLETE
35,35,0.45880000000000004,2023-05-28 12:26:02.108247,2023-05-28 13:06:52.175604,0 days 00:40:50.067357,128,0.018883811409184242,0.7563513560085073,adadelta,COMPLETE
36,36,0.5052,2023-05-28 12:32:25.187180,2023-05-28 13:13:11.196110,0 days 00:40:46.008930,128,0.24735918660945283,0.7515894667928412,adadelta,COMPLETE
37,37,0.5123,2023-05-28 12:35:24.003636,2023-05-28 13:16:17.165324,0 days 00:40:53.161688,128,0.2531933872076337,0.7627434948999561,adadelta,COMPLETE
38,38,0.5148,2023-05-28 12:41:15.335798,2023-05-28 13:21:49.960317,0 days 00:40:34.624519,128,0.26433378560995396,0.7659753051061903,adadelta,COMPLETE
39,39,0.5098,2023-05-28 12:42:21.453799,2023-05-28 13:23:00.633237,0 days 00:40:39.179438,128,0.26562954021460355,0.7716296115685125,adadelta,COMPLETE
40,40,0.521,2023-05-28 12:51:02.894000,2023-05-28 13:31:58.516356,0 days 00:40:55.622356,128,0.25487557134935146,0.7668791477296002,adadelta,COMPLETE
41,41,0.5203,2023-05-28 12:51:27.950639,2023-05-28 13:32:12.050412,0 days 00:40:44.099773,128,0.24083018955362984,0.7654498562612447,adadelta,COMPLETE
42,42,0.5216000000000001,2023-05-28 13:00:28.180793,2023-05-28 13:41:02.550751,0 days 00:40:34.369958,128,0.234204235605318,0.7669739911947648,adadelta,COMPLETE
43,43,0.5201,2023-05-28 13:00:48.285346,2023-05-28 13:41:27.740888,0 days 00:40:39.455542,128,0.23926061013648728,0.7673377534997159,adadelta,COMPLETE
44,44,0.42900000000000005,2023-05-28 13:04:11.900829,2023-05-28 13:44:52.205608,0 days 00:40:40.304779,128,0.22183338438787045,0.7775444018610886,sgd,COMPLETE
45,45,0.4716,2023-05-28 13:06:52.180359,2023-05-28 13:47:18.948266,0 days 00:40:26.767907,128,0.253840511792368,0.7760986368363476,sgd,COMPLETE
46,46,0.40140000000000003,2023-05-28 13:13:11.200118,2023-05-28 13:53:52.187548,0 days 00:40:40.987430,128,0.3783068761763643,0.7794429296896878,sgd,COMPLETE
47,47,0.4006,2023-05-28 13:16:17.169339,2023-05-28 13:57:05.818976,0 days 00:40:48.649637,128,0.3613735989250652,0.6798256679332708,rmsprop,COMPLETE
48,48,0.448,2023-05-28 13:21:49.964382,2023-05-28 14:07:43.974983,0 days 00:45:54.010601,64,0.36000740184775204,0.6730980644371644,sgd,COMPLETE
49,49,0.43970000000000004,2023-05-28 13:23:00.636318,2023-05-28 14:08:52.021944,0 days 00:45:51.385626,64,0.36412345267744994,0.6761464656863053,sgd,COMPLETE
50,50,0.42000000000000004,2023-05-28 13:31:58.521240,2023-05-28 14:13:05.864878,0 days 00:41:07.343638,128,0.37068404926309984,0.6999942848672496,sgd,COMPLETE
51,51,0.4183,2023-05-28 13:32:12.055512,2023-05-28 14:13:11.363718,0 days 00:40:59.308206,128,0.3932238679926167,0.7769287908522422,sgd,COMPLETE
52,52,0.453,2023-05-28 13:41:02.555206,2023-05-28 14:27:07.970603,0 days 00:46:05.415397,64,0.37199553371024086,0.7787756061073685,sgd,COMPLETE
53,53,0.44010000000000005,2023-05-28 13:41:27.746365,2023-05-28 14:27:42.091214,0 days 00:46:14.344849,64,0.40540524607084855,0.7829301327361682,sgd,COMPLETE
54,54,0.4178,2023-05-28 13:44:52.210451,2023-05-28 14:31:43.291481,0 days 00:46:51.081030,64,0.3716328338563195,0.7852997453308774,rmsprop,COMPLETE
55,55,0.43370000000000003,2023-05-28 13:47:18.951468,2023-05-28 14:34:17.231638,0 days 00:46:58.280170,64,0.37790345807047093,0.8157923503929312,rmsprop,COMPLETE
56,56,0.435,2023-05-28 13:53:52.191262,2023-05-28 14:41:05.143680,0 days 00:47:12.952418,64,0.3152046107656739,0.8242161203629869,rmsprop,COMPLETE
57,57,0.49060000000000004,2023-05-28 13:57:05.823872,2023-05-28 14:44:22.695232,0 days 00:47:16.871360,64,0.30858035831192177,0.8344721635004122,adagrad,COMPLETE
58,58,0.3967,2023-05-28 14:07:43.980313,2023-05-28 15:31:21.810457,0 days 01:23:37.830144,16,0.32103368808924154,0.8243674772176818,adamax,COMPLETE
59,59,0.4324,2023-05-28 14:08:52.027107,2023-05-28 15:30:43.222727,0 days 01:21:51.195620,16,0.4403189922892833,0.8216979354179966,adagrad,COMPLETE
60,60,0.42510000000000003,2023-05-28 14:13:05.871305,2023-05-28 15:35:14.467523,0 days 01:22:08.596218,16,0.4442844387226921,0.8108159064456109,adagrad,COMPLETE
61,61,0.4446,2023-05-28 14:13:11.369493,2023-05-28 15:35:14.154949,0 days 01:22:02.785456,16,0.3203847894735571,0.8180347610692265,adagrad,COMPLETE
