number,trial,optimiser,learning_rate,momentum,batch_size,val_acc,mac,params,time
0,1,Adadelta,0.08,0.73,128,0.5056,4.12 GMac,20.49 k,1292.837326
1,2,SGD,0.017,0.746,128,0.5167,4.12 GMac,20.49 k,1305.566801
2,3,SGD,0.02,0.96,128,0.444,4.12 GMac,20.49 k,1301.897514
3,4,Adagrad,0.0451,0.943,16,0.5096,4.12 GMac,20.49 k,1657.411259
4,5,RMSprop,0.0074,0.698,32,0.4306,4.12 GMac,20.49 k,1448.249461
5,6,Adamax,0.1,0.92273636,128,0.433,4.12 GMac,20.49 k,1278.341726
6,7,SGD,0.1,0.600083473,16,0.4138,4.12 GMac,20.49 k,1597.48298
7,8,Adamax,0.074,0.901843803,64,0.4314,4.12 GMac,20.49 k,1314.331976
8,9,Adagrad,0.1,0.97265616,32,0.5012,4.12 GMac,20.49 k,1410.48136
9,10,Adam,0.0663,0.85876225,16,0.3918,4.12 GMac,20.49 k,1593.674066
10,11,Adagrad,0.0129,0.6,16,0.5074,4.12 GMac,20.49 k,1591.364099
11,12,Adam,0.06,0.83,128,0.441,4.12 GMac,20.49 k,1268.074817
12,13,Adamax,0.061,0.86,128,0.4471,4.12 GMac,20.49 k,1267.488371
13,14,SGD,0.05,0.96,64,0.4396,4.12 GMac,20.49 k,1311.69653
14,15,Adadelta,0.1,0.73097792,16,0.5041,4.12 GMac,20.49 k,1596.325299
15,16,Adagrad,0.0124,0.89,16,0.5111,4.12 GMac,20.49 k,1592.556225
16,17,Adagrad,0.0124,0.99,64,0.5226,4.12 GMac,20.49 k,1312.529976
17,18,Adamax,0.061,0.86,128,0.453,4.12 GMac,20.49 k,1268.480642
18,19,SGD,0.05,0.96,128,0.4375,4.12 GMac,20.49 k,1269.369941
19,20,Adamax,0.061,0.86,16,0.4197,4.12 GMac,20.49 k,1594.926479
20,21,Adagrad,0.08,0.64,64,0.5036,4.12 GMac,20.49 k,1311.988925
21,22,Adagrad,0.0379,0.62,64,0.5259,4.12 GMac,20.49 k,1313.192253
22,23,Adagrad,0.0159,0.64,64,0.5289,4.12 GMac,20.49 k,9141.851854
23,24,Adagrad,0.08,0.64,64,0.506,4.12 GMac,20.49 k,3128.261967
24,25,Adagrad,0.08,0.64,64,0.5148,4.12 GMac,20.49 k,1367.386233
25,26,Adagrad,0.0124,0.99,32,0.5189,4.12 GMac,20.49 k,1463.280948
26,27,Adagrad,0.0304,0.61,64,0.5225,4.12 GMac,20.49 k,27372.53253
27,28,Adagrad,0.0124,0.89,64,0.5237,4.12 GMac,20.49 k,1549.103196
28,29,Adagrad,0.0131,0.963,32,0.5251,4.12 GMac,20.49 k,4935.227106
29,30,Adagrad,0.0159,0.63,64,0.5228,4.12 GMac,20.49 k,1316.057897
30,31,Adagrad,0.0161,0.861,64,0.528,4.12 GMac,20.49 k,1333.00545
31,32,Adagrad,0.0124,0.89,32,0.5221,4.12 GMac,20.49 k,1423.533432
32,33,Adagrad,0.0116,0.744,128,0.5202,4.12 GMac,20.49 k,1275.793977
33,34,Adagrad,0.0236,0.73,32,0.519,4.12 GMac,20.49 k,1409.070979
34,35,Adagrad,0.08,0.64,64,0.5091,4.12 GMac,20.49 k,1501.321165
35,36,Adagrad,0.0125,0.93,128,0.5123,4.12 GMac,20.49 k,1316.630782
36,37,Adagrad,0.0159,0.66,16,0.5103,4.12 GMac,20.49 k,1935.513805
37,38,Adagrad,0.0108,0.66,32,0.5188,4.12 GMac,20.49 k,1436.833043
38,39,Adagrad,0.0213,0.84,128,0.5267,4.12 GMac,20.49 k,1292.952741
39,40,Adagrad,0.0357,0.79,64,0.5134,4.12 GMac,20.49 k,1343.23286
40,41,Adagrad,0.0131,0.963,32,0.5218,4.12 GMac,20.49 k,10151.60456
41,42,Adagrad,0.0131,0.963,32,0.5167,4.12 GMac,20.49 k,8807.394942
42,43,Adagrad,0.0159,0.88,64,0.5237,4.12 GMac,20.49 k,1328.87181
43,44,Adagrad,0.0164,0.88,64,0.5304,4.12 GMac,20.49 k,1351.526615
44,45,Adagrad,0.0131,0.999,32,0.5214,4.12 GMac,20.49 k,1459.080791
45,46,Adagrad,0.0236,0.73,128,0.5209,4.12 GMac,20.49 k,1293.066731
46,47,Adagrad,0.0159,0.91,16,0.5093,4.12 GMac,20.49 k,1646.682862
47,48,Adagrad,0.1,0.86,16,0.4785,4.12 GMac,20.49 k,1642.724295
48,49,Adagrad,0.03,0.963,32,0.5203,4.12 GMac,20.49 k,1454.876821
49,50,Adagrad,0.0159,0.86,16,0.509,4.12 GMac,20.49 k,1685.188843
50,51,Adagrad,0.0131,0.664,64,0.5317,4.12 GMac,20.49 k,1396.80189
51,52,Adagrad,0.0416,0.76,16,0.494,4.12 GMac,20.49 k,1614.975187
52,53,Adagrad,0.0131,0.999,32,0.5206,4.12 GMac,20.49 k,1450.048873
53,54,Adagrad,0.0159,0.88,64,0.532,4.12 GMac,20.49 k,1338.409986
54,55,Adagrad,0.1,0.86,32,0.5045,4.12 GMac,20.49 k,1413.594673
55,56,Adagrad,0.0159,0.81,64,0.525,4.12 GMac,20.49 k,1338.622732
56,57,Adagrad,0.0164,0.86,16,0.5161,4.12 GMac,20.49 k,1620.355754
57,58,Adagrad,0.0159,0.88,64,0.527,4.12 GMac,20.49 k,1339.267473
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1339.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1339.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1340.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1341.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1342.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1343.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1344.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1345.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1346.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1347.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1348.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1349.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1350.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1351.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1352.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1353.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1354.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1355.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1356.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1357.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1358.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1359.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1360.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1361.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1362.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1363.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1364.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1365.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1366.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1367.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1368.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1369.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1370.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1371.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1372.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1373.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1374.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1375.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1376.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1377.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1378.500006
58,59,Adagrad,0.0164,0.88,64,0.5329,4.12 GMac,20.49 k,1378.500006
